ID_Num,VB_ID,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE
6,1984BADGER,BADGER,1984,no,Forest,"USF,NPS",LNF,25.71,450,79,17.5,34,19840718,0
8,1984BODFISH,BODFISH,1984,no,Shrub/Grass,USF,SQF,53.26,9530,2999,31.5,1318,19840707,19840714
1,1984YNP_023, ,1984,yes,Forest,NPS,YNP,0.00,299,10,3.2,4,19840000,19840000
29,1985BARTLETT,BARTLETT,1985,yes,Forest,NPS,YNP,0.00,427,88,20.7,70,19850725,19851110
31,1985BUCK,BUCK,1985,yes,Forest,NPS,YNP,0.00,141,24,17.2,11,19850809,19851110
21,1985CAENF00000066,1985CAENF00000066,1985,no,Forest,USF,ENF,42.04,129,43,33.6,37,19850810,19850812
22,1985CAINF00000070,1985CAINF00000070,1985,no,Forest,USF,INF,88.54,87,5,5.8,1,19850817,19850817
24,1985CALNF00000031,1985CALNF00000031,1985,no,Forest,USF,LNF,98.81,89,42,47.0,42,19850717,19850720
25,1985CALNF00000069,1985CALNF00000069,1985,no,Forest,USF,LNF,99.98,217,127,58.4,121,19851020,19851024
33,1985DELTA,DELTA,1985,no,Forest,USF,SHF,5.64,848,401,47.3,386,19850718,19850721
34,1985DOUGHERTY,DOUGHERTY,1985,yes,Forest,NPS,KNP,0.00,1072,79,7.4,26,19850625,19851013
37,1985KENDRICK,KENDRICK,1985,yes,Forest,NPS,YNP,0.00,507,30,5.9,6,19850725,19850000
40,1985MAMMOTH,MAMMOTH,1985,no,Forest,USF,SNF,70.70,316,29,9.3,29,19850702,19850704
41,1985OWENS,OWENS,1985,no,Grass,CDF,BDU,94.27,1220,267,21.9,99,19850807,19850808
42,1985PATE_VALLEY,PATE VALLEY,1985,no,Forest,NPS,YNP,0.00,713,138,19.3,77,19850630,19850707
43,1985RICH_BAR,RICH BAR,1985,no,Forest,USF,SQF,79.38,3295,1307,39.7,507,19850628,19850630
44,1985RIVER,RIVER,1985,no,Forest,USF,STF,100.00,134,8,6.2,5,19850831,19850902
48,1985TRELOAR_CMPLX,TRELOAR COMPLEX,1985,no,Forest,USF,SHF,100.00,1612,243,15.1,115,19850726,19850806
52,1986CAENF00000082,1986CAENF00000082,1986,no,Forest,USF,ENF,99.95,239,24,10.1,22,19861029,19861105
58,1986CASCADE_CREEK,CASCADE CREEK,1986,yes,Forest,NPS,YNP,0.00,837,16,1.9,7,19860727,19860922
59,1986DEER,DEER,1986,no,Forest,USF,SNF,100.00,5349,1204,22.5,206,19860909,19860920
61,1986GLACIER_POINT,GLACIER POINT,1986,no,Forest,NPS,YNP,0.00,278,122,43.8,98,19860627,19860701
71,1987ASSIST_PNF,ASSIST P.N.F.,1987,no,Forest,CDF,LMU,63.24,499,244,49.0,201,19870831,0
72,1987BEAR,BEAR,1987,no,Forest,USF,SHF,97.58,2132,147,6.9,35,19870830,19870914
73,1987BEARCAT,BEARCAT,1987,no,Forest,USF,KNF,94.96,1157,40,3.4,16,19870830,19870918
74,1987BETTY_BLAKE,BETTY BLAKE,1987,yes,Forest,NPS,YNP,0.00,159,16,9.8,13,19870717,19871120
75,1987BIG,BIG,1987,no,Forest,USF,TNF,72.30,427,37,8.6,18,19870831,19870906
76,1987BLAKE,BLAKE,1987,no,Forest,USF,SRF,99.50,1413,345,24.4,281,19870830,19870905
78,1987CEDAR,CEDAR,1987,no,Forest,USF,MDF,83.26,283,29,10.3,10,19870901,19870912
79,1987CHAWANAKEE,CHAWANAKEE,1987,no,Forest,USF,SNF,100.00,713,48,6.7,12,19870622,19870626
80,1987CHINA,CHINA,1987,no,Hardwood,USF,SNF,50.95,126,10,7.8,7,19870830,19870901
81,1987CHINA_KNF,CHINA,1987,no,Forest,USF,KNF,96.11,1332,112,8.4,25,19870830,0
82,1987CHINA_SHF,CHINA,1987,no,Forest,USF,SHF,100.00,3696,726,19.6,380,19870830,19871013
129,1987CLARK,PLUMAS NF #531 (CLARK),1987,no,Forest,CDF,BTU,73.47,15861,5351,33.7,781,19870830,19870905
83,1987CLAVEY_CMPLX,CLAVEY 87 CMPLX,1987,no,Forest,USF,STF,98.10,3537,708,20.0,324,19870831,19871012
84,1987COLD,COLD,1987,no,Forest,USF,SHF,98.37,6678,387,5.8,96,19870830,19870911
85,1987DOE,DOE,1987,no,Forest,USF,SHF,100.00,932,256,27.5,121,19870830,0
86,1987DOG_CREEK,DOG CREEK,1987,yes,Forest,NPS,KNP,0.00,170,11,6.3,4,19870708,19871027
87,1987EAST,EAST,1987,no,Forest,USF,SHF,97.44,4643,932,20.1,584,19870830,0
88,1987ELK_LICK,ELK LICK,1987,no,Forest,USF,KNF,100.00,448,28,6.3,12,19870830,0
89,1987EVER,EVER,1987,no,Forest,USF,STF,92.16,215,161,74.8,160,19870828,19870829
90,1987FAY,FAY,1987,no,Forest,USF,SQF,81.37,4640,1147,24.7,664,19870830,19870905
92,1987FLUME,FLUME,1987,no,Forest,USF,SHF,100.00,5277,813,15.4,198,19870830,19870910
93,1987FORT_COPPER,FORT COPPER,1987,no,Forest,USF,KNF,94.59,14703,2842,19.3,290,19870830,19871007
94,1987FOUTS,FOUTS,1987,no,Forest,USF,MNF,91.72,6965,1752,25.2,399,19870901,19870914
95,1987FRIENDLY,FRIENDLY,1987,no,Forest,USF,SHF,88.92,1466,407,27.7,297,19870830,19870910
96,1987FROG,FROG,1987,yes,Forest,NPS,YNP,0.00,1554,66,4.2,10,19870628,19871104
97,1987GLASGOW,GLASGOW,1987,no,Forest,USF,KNF,96.56,6156,1273,20.7,480,19870830,19870922
98,1987GLEN_AULIN,GLEN AULIN,1987,yes,Forest,NPS,YNP,0.00,106,23,21.5,10,19870921,19871120
99,1987GULCH_KNF,GULCH,1987,no,Forest,USF,KNF,98.74,4435,181,4.1,18,19870830,19871012
100,1987GULCH_SHF,GULCH,1987,no,Forest,USF,SHF,89.93,2652,789,29.8,520,19870830,19870911
102,1987HAMM_CMPLX,HAMM 87 CMPLX,1987,no,Forest,USF,STF,93.66,13624,2993,22.0,431,19870830,19870913
103,1987HASLOE_CMPLX,HASLOE 87 CMPLX,1987,no,Forest,USF,STF,70.47,2783,1073,38.5,790,19870901,19870907
104,1987HIGHROCK,HIGHROCK,1987,no,Forest,USF,MDF,95.35,455,33,7.3,17,19870901,19870912
105,1987HOTELLING,HOTELLING,1987,no,Forest,USF,KNF,100.00,7453,696,9.3,268,19870830,19871017
106,1987INDIAN,INDIAN,1987,no,Forest,USF,TNF,99.93,3791,1523,40.2,939,19870829,19870911
107,1987JARREL,JARREL,1987,no,Forest,"USF,NPS",STF,22.55,742,25,3.3,13,19870903,19870912
109,1987JESSIE,JESSIE,1987,no,Forest,USF,SHF,61.00,1385,148,10.7,37,19870830,19870912
110,1987KELSEY,KELSEY,1987,no,Forest,USF,KNF,96.40,1753,96,5.5,46,19870830,19870925
111,1987KING_TITUS,KING TITUS,1987,no,Forest,USF,KNF,99.21,28891,2092,7.2,132,19870830,19871018
112,1987LAKE,LAKE,1987,no,Forest,USF,KNF,99.79,7655,247,3.2,41,19870830,19870928
113,1987LARSON_CMPLX,LARSON 87 CMPLX,1987,no,Forest,USF,STF,93.35,19551,3752,19.2,754,19870830,19870910
115,1987LAUREL,LAUREL,1987,no,Forest,USF,INF,85.10,469,112,23.9,51,19870830,19870904
116,1987LAZYMAN,LAZYMAN,1987,no,Forest,USF,SHF,100.00,606,20,3.3,8,19870901,19870921
117,1987LIGHTNING120,LIGHTNING #120 (CRANK),1987,no,Forest,CDF,LMU,12.39,1725,853,49.5,661,19870831,0
118,1987LOST,LOST,1987,no,Forest,USF,LNF,95.64,9672,4685,48.4,1674,19870831,19870908
119,1987LOST_BEAR,LOST BEAR,1987,yes,Forest,NPS,YNP,0.00,809,33,4.1,5,19870723,19871120
120,1987MAMMOTH,MAMMOTH,1987,no,Forest,USF,INF,99.82,183,36,19.8,36,19870822,19870825
121,1987MENDENHALL,MENDENHALL,1987,no,Forest,CDF,MEU,57.86,21919,8586,39.2,4875,19870831,19870917
122,1987NIELON,NIELON,1987,no,Forest,USF,KNF,100.00,649,199,30.6,186,19870830,19870921
123,1987PALMER,PALMER,1987,no,Forest,USF,TNF,57.56,862,187,21.7,105,19870829,19870908
126,1987PAPER_CMPLX,PAPER 87 CMPLX,1987,no,Forest,USF,STF,71.61,15232,4120,27.1,1775,19870831,19871012
127,1987PEANUT,PEANUT,1987,no,Forest,USF,SHF,84.67,2608,599,23.0,208,19870830,19870912
128,1987PIERCE,PIERCE,1987,no,Forest,CDF,TUU,74.57,290,37,12.7,13,19870829,19870905
130,1987QUAKING,QUAKING,1987,no,Forest,USF,MDF,96.75,1787,464,25.9,201,19870715,19870721
131,1987RIPSTEIN,RIPSTEIN,1987,no,Forest,USF,SHF,100.00,1378,459,33.3,189,19870830,19870926
132,1987RIVER,RIVER II,1987,no,Forest,USF,STF,93.81,285,7,2.6,6,19870830,19870904
134,1987SAINT_CLAIRE,SAINT CLAIRE,1987,no,Forest,USF,KNF,100.00,3497,114,3.2,17,19870830,19871010
136,1987SLATER,SLATER,1987,no,Forest,USF,KNF,96.89,2577,328,12.7,99,19870830,19870920
137,1987SLIDES,SLIDES,1987,no,Forest,USF,MNF,100.00,398,8,2.0,8,19870901,19870919
138,1987SNAG_CMPLX,SNAG COMPLEX,1987,no,Forest,NPS,LNP,0.00,325,29,8.9,11,19870901,19870909
139,1987STRAUSE,STRAUSE,1987,no,Forest,USF,SHF,100.00,2646,783,29.6,193,19870830,19871013
140,1987TEN_BALD,TEN BALD,1987,no,Forest,USF,KNF,100.00,7946,969,12.2,86,19870830,19871015
141,1987THOMPSON,THOMPSON,1987,no,Forest,USF,KNF,100.00,2039,88,4.3,13,19870830,19871020
142,1987TRAVIS,TRAVIS,1987,no,Forest,USF,SRF,92.86,4781,725,15.2,234,19870831,19870906
143,1987TRINITY,TRINITY,1987,no,Forest,USF,SHF,100.00,570,20,3.4,6,19870830,19870912
68,1987USF05141987000282, ,1987,no,Forest,USF,SHF,100.00,420,24,5.7,12,19870830,19870912
145,1987WALLOW,WALLOW,1987,no,Forest,USF,SHF,96.05,1395,21,1.5,13,19870830,19870920
146,1987YELLOW2,YELLOW #2,1987,no,Forest,USF,KNF,99.99,21741,2305,10.6,451,19870830,19871120
156,1988ALASKA,ALASKA,1988,yes,Forest,NPS,YNP,0.00,770,8,1.1,4,19880818,19881119
160,1988BUCKEYE,BUCKEYE,1988,yes,Forest,NPS,KNP,0.00,1290,302,23.4,255,19881016,19881023
153,1988CALNF00000155,1988CALNF00000155,1988,no,Forest,USF,LNF,85.00,375,235,62.5,226,19880828,19880831
163,1988CLEARINGHOUSE,CLEARHOUSE,1988,no,Forest,USF,STF,93.99,1021,36,3.5,10,19880702,19880708
166,1988EAST_LECONTE,EAST LECONTE,1988,yes,Forest,NPS,YNP,0.00,1519,20,1.3,11,19880620,19881119
167,1988ECHO,ECHO,1988,yes,Forest,NPS,YNP,0.00,577,35,6.0,7,19880621,19881110
170,1988ELBOW,ELBOW,1988,yes,Forest,NPS,YNP,0.00,184,3,1.7,3,19880810,19881110
172,1988GARNET,GARNET,1988,no,Forest,USF,SNF,100.00,924,33,3.5,13,19880829,19880902
